00000000	0	1	1	fffffb00	00000500
00000001	0	1	1	fffffb00	00000500
00000002	0	1	1	fffffc00	00000400
00000003	0	0	0	00000000	0000dfff
00000004	0	0	0	00000000	0000000f
00000005	1	0	1	00000064	00000258
00000007	1	0	0	00000000	0000ffff
00000008	0	0	1	ffffff00	000000ff
00000009	0	0	1	ffffff00	000000ff
0000000A	0	0	0	00000000	0000ffff
0000000b	0	0	0	00000000	0000ffff
0000000c	0	0	0	00000000	0000ffff
0000000d	0	0	0	00000000	0000ffff
0000000e	0	0	0	00000000	0000000f
0000000f	0	0	0	00000000	ffffffff
00000010	1	0	0	00000000	ffffffff
00000011	1	0	0	00000000	ffffffff
00000012	1	0	0	00000000	ffffffff
00000013	1	0	0	00000000	ffffffff
00000014	1	0	0	00000000	ffffffff
00000015	1	0	0	00000000	ffffffff
00000016	1	0	0	00000000	ffffffff
00000017	1	0	0	00000000	ffffffff
00000018	1	0	0	00000000	ffffffff
00000019	1	0	0	00000000	ffffffff
0000001a	0	0	0	00000000	ffffffff
0000001b	0	0	0	00000000	ffffffff
0000001c	0	0	0	00000000	ffffffff
0000001d	0	0	0	00000000	ffffffff
00000030	1	0	0	00000000	ffffffff
00000031	1	0	0	00000000	ffffffff
00000032	1	0	0	00000000	ffffffff
00000033	1	0	0	00000000	ffffffff
00000034	1	0	0	00000000	ffffffff
00000035	1	0	0	00000000	ffffffff
00000036	1	0	0	00000000	ffffffff
00000037	1	0	0	00000000	ffffffff
00000038	1	0	0	00000000	ffffffff
00000039	1	0	0	00000000	ffffffff
0000003a	0	0	0	00000000	ffffffff
00000050	0	0	0	00000000	00000007
00000060	0	0	0	00000000	00003fff
00000061	0	0	0	00000000	7fffffff
00000062	0	0	0	00000000	00003fff
00000063	0	0	0	00000000	7fffffff
00000064	0	0	0	00000000	00003fff
00000065	0	0	0	00000000	7fffffff
00000066	0	0	0	00000000	00003fff
00000067	0	0	0	00000000	7fffffff
00000068	0	0	0	00000000	00003fff
00000069	0	0	0	00000000	7fffffff
0000006a	0	0	0	00000000	00007fff
00000070	0	0	0	00000000	ffffffff
00000071	0	0	0	00000000	ffffffff
00000072	0	0	0	00000000	ffffffff
00000073	0	0	0	00000000	ffffffff
00000074	0	0	0	00000000	ffffffff
00000075	0	0	0	00000000	ffffffff
00000076	0	0	0	00000000	ffffffff
00000077	0	0	0	00000000	ffffffff
00000078	0	0	0	00000000	ffffffff
00000079	0	0	0	00000000	ffffffff
0000007a	0	0	0	00000000	ffffffff
0000007b	0	0	0	00000000	ffffffff
0000007c	0	0	0	00000000	ffffffff
0000007d	0	0	0	00000000	ffffffff
0000007e	0	0	0	00000000	ffffffff
000000d8	0	0	0	00000000	001fffff
000000d9	0	0	0	00000000	ffffffff
000000da	0	0	0	00000000	ffffffff
000000db	0	0	0	00000000	ffffffff
000000dc	0	0	0	00000000	ffffffff
000000dd	0	0	0	00000000	ffffffff
000000de	0	0	0	00000000	ffffffff
000000df	0	0	0	00000000	ffffffff
000000e0	0	0	0	00000000	00ffffff
000000e1	0	0	0	00000000	ffffffff
000000e2	0	0	0	00000000	ffffffff
000000e3	0	0	0	00000000	00ffffff
000000e4	0	0	0	00000000	ffffffff
000000e8	1	0	0	00000000	0fffffff
000000e9	1	0	0	00000000	ffffffff
000000ea	1	0	0	00000000	00000fff
000000eb	1	0	0	00000000	ffffffff
000000ec	1	0	0	00000000	ffffffff
000000ed	1	0	0	00000000	ffffffff
000000ee	1	0	0	00000000	ffffffff
000000ef	1	0	0	00000000	0000ffff
000000f8	0	0	0	00000000	ffffffff
000000f9	0	0	0	00000000	ffffffff
000000fa	0	0	0	00000000	00ffffff
000000fb	0	0	0	00000000	0003ffff
00000101	0	0	0	00000000	00000100
