00001000	0	0	0	00000000	000FFFFF
00001001	0	0	0	00000000	FFFFFFFF
00001002	0	0	0	00000000	FFFFFFFF
00001004	0	0	0	00000000	FFFFFFFF
00001005	0	0	0	00000000	FFFFFFFF
00001006	0	0	0	00000000	FFFFFFFF
00001007	0	0	0	00000000	FFFFFFFF
00001008	0	0	0	00000000	000FFFFF
00001009	0	0	0	00000000	FFFFFFFF
0000100A	0	0	0	00000000	FFFFFFFF
0000100B	0	0	0	00000000	000FFFFF
0000100C	1	0	0	00000000	0FFFFFFF
0000100D	1	0	0	00000000	FFFFFFFF
0000100E	1	0	0	00000000	00000FFF
0000100F	1	0	0	00000000	FFFFFFFF
00001010	1	0	0	00000000	FFFFFFFF
00001011	1	0	0	00000000	FFFFFFFF
00001012	1	0	0	00000000	FFFFFFFF
00001013	1	0	0	00000000	0000FFFF
